               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038801,            0.062804,          0.00084565,             0.75028,             0.58374,             0.65144,             0.34822,            0.039553,            0.070639,          0.00098988,             0.00307,             0.00307,             0.00307
                  37,            0.038561,             0.06278,           0.0008487,             0.75155,             0.58119,             0.65131,             0.34851,            0.039507,            0.070766,           0.0009931,            0.002872,            0.002872,            0.002872
                  38,            0.038493,            0.062758,          0.00082133,             0.74997,             0.58162,             0.65145,              0.3496,            0.039404,            0.070392,          0.00095987,            0.002674,            0.002674,            0.002674
                  39,            0.038281,            0.062239,           0.0008339,             0.74464,             0.58809,             0.65365,             0.34914,            0.039478,            0.070419,          0.00097498,            0.002476,            0.002476,            0.002476
                  40,            0.038183,            0.061979,          0.00081099,             0.74534,             0.58598,             0.65313,             0.34973,            0.039463,             0.07061,          0.00097552,            0.002278,            0.002278,            0.002278
                  41,            0.037986,            0.061609,          0.00080623,             0.74758,             0.58875,             0.65422,             0.35043,            0.039436,            0.070483,          0.00096976,             0.00208,             0.00208,             0.00208
                  42,            0.037914,            0.061481,           0.0008039,             0.74674,             0.58872,             0.65376,             0.35084,            0.039365,            0.070609,          0.00096924,            0.001882,            0.001882,            0.001882
                  43,            0.037863,            0.061621,          0.00078323,             0.75395,             0.58441,             0.65346,             0.35055,            0.039405,            0.070786,          0.00097554,            0.001684,            0.001684,            0.001684
                  44,            0.037644,            0.061144,          0.00078987,             0.75118,             0.58734,             0.65407,             0.35089,            0.039364,            0.070598,           0.0009784,            0.001486,            0.001486,            0.001486
                  45,            0.037562,            0.060958,          0.00076566,             0.75319,             0.58599,              0.6537,             0.35145,            0.039349,            0.070739,          0.00098004,            0.001288,            0.001288,            0.001288
                  46,            0.037433,            0.060527,          0.00077244,             0.75214,             0.58565,             0.65389,             0.35117,            0.039386,            0.070824,            0.000979,             0.00109,             0.00109,             0.00109
                  47,             0.03734,            0.060461,          0.00076797,             0.74855,             0.58766,             0.65441,             0.35071,            0.039441,            0.070942,           0.0009891,            0.000892,            0.000892,            0.000892
                  48,            0.037201,            0.060297,          0.00075004,              0.7514,             0.58635,             0.65446,             0.35107,            0.039443,            0.070929,          0.00098768,            0.000694,            0.000694,            0.000694
                  49,             0.03706,            0.060044,          0.00075172,             0.75112,             0.58583,             0.65358,             0.35088,            0.039429,            0.071014,          0.00098857,            0.000496,            0.000496,            0.000496
