epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13647.7,1.28698,0.74925,0.96944,0.70316,0.53951,0.60599,0.33401,1.24236,0.68977,0.93483,0.00538,0.00538,0.00538
44,13966.1,1.28675,0.74725,0.96841,0.70521,0.53929,0.60634,0.33415,1.24214,0.68956,0.93396,0.00527,0.00527,0.00527
45,14283.6,1.2847,0.74391,0.96858,0.70554,0.54005,0.60796,0.33497,1.23965,0.68853,0.93341,0.00516,0.00516,0.00516
46,14600.5,1.28444,0.74462,0.96757,0.70708,0.54076,0.60813,0.33557,1.23897,0.6876,0.93336,0.00505,0.00505,0.00505
47,14916.8,1.28399,0.74332,0.96812,0.70959,0.53944,0.60821,0.33566,1.23903,0.6868,0.93305,0.00494,0.00494,0.00494
48,15234.2,1.28121,0.74135,0.96706,0.70749,0.54205,0.6094,0.33626,1.2379,0.68629,0.93248,0.00483,0.00483,0.00483
49,15549.5,1.28304,0.74234,0.96754,0.70822,0.54127,0.60984,0.33641,1.23782,0.6853,0.93222,0.00472,0.00472,0.00472
50,15865.1,1.27411,0.73542,0.96478,0.71104,0.5404,0.61039,0.33673,1.2374,0.68457,0.93211,0.00461,0.00461,0.00461
51,16180.2,1.27594,0.7366,0.9648,0.70774,0.54254,0.61095,0.33708,1.23627,0.68387,0.93179,0.0045,0.0045,0.0045
52,16495.8,1.27216,0.73466,0.96366,0.70969,0.54172,0.61133,0.33729,1.23584,0.68338,0.93141,0.00439,0.00439,0.00439
53,16814.8,1.28125,0.74091,0.96573,0.71115,0.54136,0.61121,0.33757,1.23494,0.68311,0.93112,0.00428,0.00428,0.00428
54,17134.3,1.27664,0.738,0.96494,0.70996,0.54296,0.61193,0.33812,1.23407,0.68253,0.93099,0.00417,0.00417,0.00417
55,17449.9,1.27653,0.73586,0.9625,0.70913,0.54337,0.61144,0.33833,1.23383,0.682,0.9307,0.00406,0.00406,0.00406
56,17762.9,1.27157,0.73143,0.96215,0.7097,0.54289,0.61196,0.33856,1.23406,0.68164,0.93061,0.00395,0.00395,0.00395
57,18077.2,1.26572,0.72983,0.96234,0.7099,0.54377,0.61263,0.33895,1.23356,0.68111,0.93038,0.00384,0.00384,0.00384
58,18391.2,1.26532,0.7277,0.96193,0.71145,0.5445,0.61272,0.33898,1.23308,0.68044,0.93005,0.00373,0.00373,0.00373
