epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1154.94,1.24425,0.72894,0.95211,0.58178,0.41842,0.43995,0.23122,1.49428,0.95585,1.03343,0.0091882,0.0091882,0.0091882
43,1181.78,1.23585,0.72897,0.95242,0.57669,0.41358,0.44817,0.23903,1.46084,0.89644,1.02901,0.0091684,0.0091684,0.0091684
44,1208.76,1.23299,0.73163,0.95314,0.60378,0.37651,0.43034,0.22615,1.5036,0.93658,1.03788,0.0091486,0.0091486,0.0091486
45,1235.61,1.2325,0.72477,0.9496,0.59221,0.40846,0.44902,0.23573,1.49134,0.91008,1.03383,0.0091288,0.0091288,0.0091288
46,1262.95,1.22246,0.71511,0.94658,0.60398,0.40906,0.44815,0.23446,1.49612,0.92728,1.02795,0.009109,0.009109,0.009109
47,1290.03,1.21719,0.71604,0.94876,0.55701,0.4067,0.43544,0.23298,1.48009,0.92708,1.02876,0.0090892,0.0090892,0.0090892
48,1317.46,1.22263,0.71854,0.94574,0.59266,0.41536,0.44695,0.23115,1.50291,0.90966,1.03052,0.0090694,0.0090694,0.0090694
49,1344.61,1.20978,0.71115,0.94193,0.56605,0.41732,0.43992,0.22775,1.52148,0.91687,1.03967,0.0090496,0.0090496,0.0090496
50,1371.23,1.19828,0.70563,0.94223,0.59223,0.41701,0.4491,0.23473,1.49588,0.92069,1.0363,0.0090298,0.0090298,0.0090298
51,1398.34,1.21943,0.71934,0.94582,0.58203,0.41214,0.43551,0.22829,1.49623,0.92412,1.03527,0.00901,0.00901,0.00901
52,1425.87,1.20054,0.7052,0.93872,0.59336,0.40863,0.44196,0.23301,1.50022,0.91079,1.04045,0.0089902,0.0089902,0.0089902
53,1453,1.20947,0.70615,0.94185,0.57188,0.4078,0.44016,0.22591,1.50525,0.90468,1.02921,0.0089704,0.0089704,0.0089704
54,1480.67,1.20722,0.70387,0.94126,0.58521,0.41155,0.44502,0.23335,1.48919,0.90684,1.03262,0.0089506,0.0089506,0.0089506
55,1508.05,1.2014,0.70257,0.93906,0.59288,0.4258,0.45369,0.23727,1.48566,0.89539,1.02614,0.0089308,0.0089308,0.0089308
56,1535.47,1.19363,0.69613,0.93663,0.59816,0.41935,0.45601,0.24206,1.46826,0.89115,1.01851,0.008911,0.008911,0.008911
57,1561.9,1.19494,0.6979,0.93713,0.59357,0.42708,0.45481,0.24015,1.47409,0.8933,1.02358,0.0088912,0.0088912,0.0088912
58,1588.81,1.17593,0.68925,0.93243,0.58827,0.41233,0.44795,0.23259,1.51002,0.9186,1.03427,0.0088714,0.0088714,0.0088714
59,1616.11,1.19952,0.69932,0.9382,0.59209,0.41448,0.44376,0.23514,1.48433,0.89648,1.04087,0.0088516,0.0088516,0.0088516
