epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3178.58,0.89252,0.50134,0.86894,0.70445,0.53427,0.59263,0.32311,1.29753,0.69292,0.96557,0.00983666,0.00983666,0.00983666
43,3253.93,0.88674,0.49795,0.86813,0.70634,0.53113,0.5919,0.32069,1.30067,0.68859,0.96536,0.00982864,0.00982864,0.00982864
44,3329.45,0.88568,0.49833,0.86805,0.70818,0.53655,0.5975,0.3233,1.30055,0.69223,0.96734,0.00982043,0.00982043,0.00982043
45,3405.21,0.87996,0.49467,0.86698,0.72068,0.52922,0.59537,0.32167,1.30073,0.69132,0.96628,0.00981204,0.00981204,0.00981204
46,3480.73,0.87672,0.4925,0.86559,0.70965,0.53767,0.59662,0.32448,1.29631,0.68952,0.96337,0.00980345,0.00980345,0.00980345
47,3556.08,0.87361,0.49192,0.86578,0.71513,0.5351,0.59684,0.32628,1.29087,0.68861,0.96235,0.00979468,0.00979468,0.00979468
48,3632.05,0.87488,0.4919,0.86593,0.71422,0.53732,0.59946,0.32589,1.29342,0.68698,0.96174,0.00978572,0.00978572,0.00978572
49,3707.42,0.87057,0.48829,0.86536,0.71486,0.54115,0.60189,0.32699,1.29685,0.68728,0.96388,0.00977658,0.00977658,0.00977658
50,3783.42,0.86212,0.48519,0.86276,0.71981,0.54006,0.60202,0.32768,1.28492,0.67945,0.9597,0.00976725,0.00976725,0.00976725
51,3858.47,0.86483,0.48559,0.86383,0.71769,0.54341,0.60398,0.32787,1.28626,0.67932,0.96162,0.00975773,0.00975773,0.00975773
52,3933.98,0.86045,0.48382,0.86321,0.70971,0.54258,0.60148,0.32684,1.29185,0.67864,0.96125,0.00974803,0.00974803,0.00974803
53,4009.28,0.85537,0.48001,0.86268,0.71979,0.53669,0.60206,0.32938,1.28578,0.67761,0.9616,0.00973814,0.00973814,0.00973814
54,4084.94,0.85504,0.48089,0.86234,0.72407,0.5374,0.60521,0.32931,1.28156,0.67749,0.95913,0.00972806,0.00972806,0.00972806
55,4161.04,0.85626,0.48068,0.86193,0.71658,0.54443,0.60562,0.33064,1.28199,0.67591,0.95841,0.0097178,0.0097178,0.0097178
56,4236.93,0.84703,0.47683,0.86051,0.71719,0.54533,0.60602,0.33018,1.28003,0.67347,0.95964,0.00970736,0.00970736,0.00970736
57,4313,0.8513,0.47885,0.86162,0.71554,0.54693,0.6071,0.33041,1.27955,0.67506,0.96039,0.00969673,0.00969673,0.00969673
58,4389.16,0.85154,0.47876,0.86096,0.72489,0.54124,0.6075,0.33038,1.28271,0.67394,0.9599,0.00968592,0.00968592,0.00968592
59,4465.2,0.8504,0.47764,0.86077,0.71789,0.54582,0.60989,0.33156,1.28117,0.67411,0.95908,0.00967493,0.00967493,0.00967493
60,4541.18,0.84078,0.47464,0.85918,0.7164,0.54653,0.60762,0.33189,1.27532,0.67081,0.95646,0.00966375,0.00966375,0.00966375
61,4616.44,0.84347,0.47385,0.85904,0.71601,0.54751,0.60841,0.33269,1.27403,0.66955,0.9567,0.00965239,0.00965239,0.00965239
62,4692.46,0.84069,0.47175,0.85886,0.718,0.54625,0.60763,0.33252,1.27512,0.67324,0.95818,0.00964085,0.00964085,0.00964085
63,4768.47,0.84007,0.47227,0.85876,0.72464,0.54446,0.60828,0.33277,1.27439,0.67081,0.95746,0.00962913,0.00962913,0.00962913
64,4843.84,0.83661,0.47002,0.85752,0.71918,0.54751,0.60952,0.3338,1.27476,0.66947,0.95738,0.00961723,0.00961723,0.00961723
65,4919.73,0.83473,0.46972,0.85742,0.71991,0.54933,0.61147,0.3344,1.27512,0.66845,0.95655,0.00960515,0.00960515,0.00960515
66,4994.79,0.83076,0.46703,0.85708,0.71541,0.55041,0.61116,0.33335,1.27451,0.66735,0.95731,0.00959289,0.00959289,0.00959289
67,5070.33,0.83159,0.46695,0.85796,0.71336,0.55035,0.60964,0.33313,1.2746,0.66583,0.95707,0.00958044,0.00958044,0.00958044
68,5145.78,0.83105,0.46778,0.85764,0.71418,0.55078,0.6098,0.33369,1.27236,0.66546,0.95687,0.00956782,0.00956782,0.00956782
69,5221.39,0.82537,0.46393,0.85657,0.71614,0.54987,0.61066,0.33409,1.2727,0.66519,0.95694,0.00955502,0.00955502,0.00955502
70,5296.69,0.82753,0.46628,0.85758,0.7183,0.55189,0.6128,0.33454,1.2722,0.66372,0.9565,0.00954205,0.00954205,0.00954205
71,5372.39,0.83037,0.4672,0.85726,0.72106,0.54933,0.61161,0.33479,1.27093,0.66345,0.95535,0.00952889,0.00952889,0.00952889
72,5448.07,0.82645,0.46432,0.8567,0.72073,0.54885,0.6116,0.3356,1.26935,0.66261,0.95404,0.00951556,0.00951556,0.00951556
73,5523.9,0.81945,0.46124,0.8549,0.7149,0.55576,0.61367,0.33577,1.26851,0.66148,0.95405,0.00950206,0.00950206,0.00950206
74,5599.87,0.82018,0.46092,0.85512,0.71879,0.55276,0.61344,0.33608,1.26862,0.6617,0.95402,0.00948837,0.00948837,0.00948837
75,5675.8,0.82043,0.46062,0.85565,0.72159,0.55319,0.6151,0.33684,1.26821,0.66078,0.95392,0.00947452,0.00947452,0.00947452
76,5751.81,0.81618,0.46024,0.85425,0.72169,0.55551,0.61611,0.33711,1.26732,0.66029,0.95415,0.00946048,0.00946048,0.00946048
77,5827.07,0.81798,0.46019,0.85486,0.72472,0.55229,0.61568,0.33766,1.26555,0.65915,0.95374,0.00944628,0.00944628,0.00944628
78,5903.42,0.81387,0.45885,0.85453,0.72602,0.55268,0.61571,0.33731,1.26666,0.6598,0.95429,0.00943189,0.00943189,0.00943189
79,5978.55,0.8133,0.45846,0.85446,0.72063,0.55498,0.61613,0.33796,1.26432,0.6587,0.95348,0.00941734,0.00941734,0.00941734
80,6054.04,0.81267,0.45737,0.85436,0.72198,0.55485,0.61558,0.33756,1.26554,0.65867,0.9534,0.00940262,0.00940262,0.00940262
81,6129.34,0.8137,0.45817,0.85433,0.72277,0.55409,0.61596,0.33783,1.26492,0.65837,0.95299,0.00938772,0.00938772,0.00938772
82,6204.4,0.80523,0.45345,0.85203,0.72387,0.55533,0.61708,0.33772,1.26377,0.65785,0.95255,0.00937265,0.00937265,0.00937265
