epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1008.6,1.12701,0.5952,0.88804,0.57065,0.31997,0.3452,0.18158,1.35702,0.69974,0.948,0.00983666,0.00983666,0.00983666
43,1031.83,1.13289,0.59838,0.88779,0.57754,0.32526,0.35743,0.19216,1.31065,0.69172,0.93864,0.00982864,0.00982864,0.00982864
44,1056.06,1.12448,0.59562,0.88795,0.57212,0.32142,0.34621,0.18771,1.30216,0.68695,0.93709,0.00982043,0.00982043,0.00982043
45,1079.34,1.12813,0.59399,0.88642,0.56657,0.32116,0.35079,0.19166,1.29572,0.67942,0.93647,0.00981204,0.00981204,0.00981204
46,1103.84,1.11691,0.59078,0.88515,0.55851,0.32584,0.34519,0.18632,1.32015,0.69698,0.93995,0.00980345,0.00980345,0.00980345
47,1127.17,1.11455,0.58791,0.88625,0.59471,0.32299,0.35799,0.19158,1.30425,0.68139,0.93676,0.00979468,0.00979468,0.00979468
48,1151.41,1.11553,0.58945,0.88552,0.58554,0.3217,0.35449,0.19127,1.30421,0.67961,0.93756,0.00978572,0.00978572,0.00978572
49,1174.69,1.10403,0.58407,0.88316,0.58761,0.32873,0.35761,0.19123,1.30112,0.67914,0.93688,0.00977658,0.00977658,0.00977658
50,1198.6,1.10263,0.58086,0.88284,0.57327,0.32481,0.35363,0.18983,1.30846,0.67836,0.93502,0.00976725,0.00976725,0.00976725
51,1222.27,1.09894,0.58046,0.8826,0.57444,0.32674,0.35125,0.19092,1.29133,0.67003,0.93338,0.00975773,0.00975773,0.00975773
52,1246.3,1.09946,0.58134,0.88219,0.56024,0.32739,0.35382,0.19046,1.31137,0.68376,0.9403,0.00974803,0.00974803,0.00974803
53,1269.72,1.09181,0.57782,0.88103,0.58044,0.32802,0.35661,0.19304,1.2941,0.67133,0.93652,0.00973814,0.00973814,0.00973814
54,1293.07,1.09544,0.58009,0.88285,0.57438,0.31915,0.35266,0.18824,1.31384,0.6878,0.93925,0.00972806,0.00972806,0.00972806
55,1316.26,1.09162,0.57667,0.88156,0.58213,0.33129,0.36402,0.19584,1.30843,0.67909,0.93949,0.0097178,0.0097178,0.0097178
