epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0147,2.65856,3.99174,1.55832,0.22715,0.04366,0.04545,0.02265,2.10878,2.50224,1.00645,0.0928,0.0008,0.0008
2,29.7601,2.45,3.23777,1.45534,0.17903,0.08373,0.07496,0.03604,1.82298,1.60796,1.01041,0.0847,0.00169998,0.00169998
3,41.477,1.88719,1.40911,1.12611,0.71363,0.09601,0.09046,0.04214,1.85254,inf,1.04094,0.0765999,0.0025999,0.0025999
4,53.2449,1.78764,1.14329,1.04658,0.71209,0.09379,0.09095,0.04075,1.9621,1.59694,1.02997,0.0684997,0.00349969,0.00349969
5,64.8089,1.75848,1.07282,1.02131,0.38722,0.09934,0.10494,0.05103,1.72635,inf,1.00015,0.0603993,0.00439931,0.00439931
6,76.2364,1.7402,1.02201,1.0086,0.32874,0.10318,0.10977,0.05057,1.91134,1.13005,1.02147,0.0522987,0.00529871,0.00529871
7,87.7173,1.75168,0.99337,1.00152,0.41896,0.10281,0.11144,0.05305,1.76961,1.26618,1.00179,0.0441978,0.00619782,0.00619782
8,99.1273,1.73317,1.00414,0.99604,0.43312,0.1053,0.11703,0.05799,1.72691,0.93735,0.98852,0.0360966,0.0070966,0.0070966
9,110.484,1.74498,0.98359,0.99565,0.52215,0.11026,0.12755,0.06598,1.60515,1.03546,0.97247,0.027995,0.007995,0.007995
10,121.72,1.76905,0.94609,0.99035,0.42918,0.11565,0.12969,0.06245,1.80418,1.02669,1.00103,0.019893,0.00889296,0.00889296
11,132.923,1.71989,0.98496,0.98373,0.39479,0.10816,0.1277,0.06809,1.67539,0.899,0.99078,0.0117904,0.00979043,0.00979043
12,144.283,1.75324,0.94628,0.98858,0.37566,0.11073,0.13188,0.06583,1.74479,0.96529,0.99124,0.00998818,0.00998818,0.00998818
13,155.671,1.71076,0.94315,0.97846,0.41497,0.11134,0.13764,0.07065,1.73624,0.99359,0.99437,0.00998594,0.00998594,0.00998594
14,167.128,1.69563,0.91033,0.97258,0.37639,0.09354,0.12266,0.05863,1.93575,1.32392,1.04202,0.0099835,0.0099835,0.0099835
15,178.592,1.68029,0.88694,0.9683,0.3906,0.10161,0.12096,0.06167,1.83232,1.15904,1.01605,0.00998086,0.00998086,0.00998086
16,190.027,1.65693,0.8667,0.96326,0.4009,0.12004,0.14338,0.07153,1.73334,1.00418,0.98299,0.00997803,0.00997803,0.00997803
17,201.378,1.63034,0.86117,0.95469,0.45993,0.1212,0.14326,0.07526,1.62041,0.88487,0.96944,0.00997501,0.00997501,0.00997501
